UNIQUE-ID	NAME
TU0-1762	osmC
TU0-13904	csrD
TU0-8464	rplL
TU0-12797	rihC
TU00255	dadAX
TU0-13206	sapABCDF
TU0-13845	sibD
TU0-14333	sraB
TU0-44226	['nusA', 'infB']
TU0-4905	gapA
TU-8435	ahpF
TU0-8791	emtA
TU0-14253	['lsp', 'fkpB', 'ispH']
TU0-2405	['mhpR', 'lacI']
TU0-13140	ycfT
TU0-8511	slyA
TU0-45257	csgDEFG
TU00299	minCDE
TU0-8728	yfaH
TU0-13888	ibaG
TU0-1544	flgMN
TU0-1201	gdhA
TU0-8359	gapC_1C_2
TU0-14314	truD
TU00239	arsRBC
TU0-13183	ychJ
TU0-13828	ftsP
TU0-4682	idnDOTR
TU0-4421	nagE
TU0-8769	aslA
TU0-14233	yghO
TU0-198694	mazEF
TU0-13123	['ymdB', 'clsC']
TU0-8494	purT
TU0-45242	['hdeAB', 'yhiD']
TU00280	glmUS
TU0-14805	hemL
TU0-13871	yhaBC
TU0-8339	queE
TU0-1181	['rrsA', 'ileT', 'alaT', 'rrlA', 'rrfA']
TU00223	sdaA
TU0-14295	ybbB
TU0-13811	yghED
TU0-13167	ymgGD
TU0-44194	malY
TU0-45281	cpxRA
TU526	ilvEDA
TU0-8753	yghU
TU0-14217	prfC
TU0-1822	cusRS
TU0-13107	gfcBCD
TU0-8477	cysS
TU0-45227	['rrsD', 'ileU', 'alaU', 'rrlD', 'rrfD', 'thrV', 'rrfF']
TU00263	['yadV', 'htrE']
TU0-13511	yegX
TU0-13854	higBA
TU0-14783	nikABCDER
TU0-4502	alsRBACE
TU0-8302	pta
TU0-1003	astCADBE
TU00206	rbsDACBKR
TU0-14269	['relA', 'mazEF']
TU0-13792	['ygfB', 'pepP', 'ubiHI']
TU0-13149	ymfJ
TU0-42695	csgA
TU0-45265	['appCBA', 'yccB']
TU484	['pdxJ', 'acpS']
TU0-8736	yfeN
TU0-14200	yjiJ
TU0-1601	['nanATEK', 'yhcH']
TU0-13089	ycbJ
TU0-8368	cobUST
TU0-45212	clpB
TU00247	caiTABCDE
TU0-13492	yeeZ
TU0-13836	ygiN
TU0-14749	exuT
TU0-44218	aroM
TU0-8223	metR
TU-8422	['essD', 'ybcS', 'rzpD']
TU-8407	rne
TU0-14243	insQ
TU00190	marRAB
TU0-13131	mdtH
TU0-13776	hyuA
TU0-4525	recAX
TU0-42652	leuV
TU0-14819	gpmA
TU368	plaR
TU0-8349	macB
TU0-14182	yjgX
TU00231	accBC
TU0-13073	['ybjQ', 'amiD']
TU0-13820	yghW
TU0-45197	csiE
TU0-44202	gnsA
TU0-13473	yeeL
TU0-14225	['radA', 'nadR']
TU0-14715	murQP
TU0-13115	efeU
TU0-8101	pgl
TU0-45234	osmY
TU-8384	['bepA', 'yfgD']
TU0-14794	greA
TU00174	ihfA
TU0-8330	zinT
TU0-13759	yqeH
TU00214	araBAD
TU0-42604	fabI
TU0-13802	tktA
TU343	metY
TU0-4287	['imp', 'surA', 'pdxA']
TU0-14164	ytfL
TU501	feaR
TU0-13056	mcbA
TU0-14208	yjiXA
TU0-45181	adhE
TU0-13099	yccFS
TU0-13455	yedEF
TU0-4522	gntR
TU0-14683	creD
TU0-13502	sibA
TU0-7823	ompT
TU0-14765	yfiRN
TU00158	ndh
TU0-8262	insK
TU0-13741	csdAE
TU00198	adhE
TU0-42581	galET
TU0-13784	ygfTS
TU221	rpoH
TU0-42674	mlaFEDCB
TU0-14147	yjeM
TU424	['hydN', 'hypF']
TU0-13039	ybgS
TU0-14191	yjhF
TU0-45165	['rrsA', 'ileT', 'alaT', 'rrlA', 'rrfA']
TU0-13081	ycaD
TU0-13437	yebF
TU0-45205	poxB
TU0-14665	fre
TU0-13484	yoeF
TU0-7722	otsBA
TU0-14738	yjeV
TU00141	pck
TU0-8150	msyB
TU0-13724	ygbE
TU-8393	['htrG', 'cca']
TU0-42558	ssnA
TU00182	gltBDF
TU101	uxuAB
TU0-13767	['insC4D4CD4', 'ygeON']
TU0-14128	mdtNOP
TU0-42626	sdiA
TU0-13023	ybfF
TU355	putA
TU0-13420	mntP
TU0-14172	bdcR
TU0-14644	talA
TU0-13064	['pdeI', 'dgcI']
TU0-7401	agp
TU0-45189	eno
TU00125	tdcABCDEFG
TU0-13464	yedS
TU0-13705	ygaQ
